Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.5pF,,,C292,,,336,,,
2,1,1.2p,,,C293,,,221,,,
3,1,6.8uF,,,C294,,,315,,,
4,1,1nF,,,C295,,,200,,,
5,1,1n,,,C296,,,260,,,
6,1,0.1uF,,,C297,,,230,,,
7,1,0.1u,,,C298,,,360,,,
8,1,1n,,,C299,,,327,,,
9,1,0.1uF,,,C300,,,351,,,
10,1,1n,,,C301,,,354,,,
11,1,6.8u,,,C302,,,333,,,
12,1,1nF,,,C303,,,285,,,
13,1,1n,,,C304,,,339,,,
14,1,0.1uF,,,C305,,,279,,,
15,1,0.1uF,,,C306,,,276,,,
16,1,1n,,,C307,,,203,,,
17,1,1nF,,,C308,,,218,,,
18,1,6.8uF,,,C309,,,227,,,
19,1,0.1uF,,,C310,,,297,,,
20,1,1n,,,C311,,,318,,,
21,1,1n,,,C312,,,236,,,
22,1,0.1uF,,,C313,,,294,,,
23,1,1n,,,C314,,,324,,,
24,1,21.34G,,,R176,,,373,,,
25,1,500,,,R177,,,282,,,
26,1,50,,,R178,,,357,,,
27,1,402,,,R179,,,239,,,
28,1,2k,,,R180,,,254,,,
29,1,200,,,R181,,,257,,,
30,1,27,,,R182,,,242,,,
31,1,20,,,R183,,,263,,,
32,1,130,,,R184,,,321,,,
33,1,18k,,,R186,,,330,,,
34,1,9.9,,,R187,,,363,,,
35,1,200,,,R188,,,300,,,
36,1,200,,,R189,,,342,,,
37,1,100,,,R190,,,224,,,
38,1,130,,,R191,,,345,,,
39,1,10.1k,,,R192,,,206,,,
40,1,10,,,R194,,,215,,,
41,1,OPA855,,,U83,,,309,,,
42,1,OPA695,,,U84,,,209,,,
43,1,OPAx277,,,U85,,,266,,,
44,1,TLV3604,,,U86,,,366,,,
45,1,OPAx277,,,U87,,,288,,,
