Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C292,0.5pF,,,
1,,C293,1.2p,,,
1,,C294,6.8uF,,,
1,,C295,1nF,,,
1,,C296,1n,,,
1,,C297,0.1uF,,,
1,,C298,0.1u,,,
1,,C299,1n,,,
1,,C300,0.1uF,,,
1,,C301,1n,,,
1,,C302,6.8u,,,
1,,C303,1nF,,,
1,,C304,1n,,,
1,,C305,0.1uF,,,
1,,C306,0.1uF,,,
1,,C307,1n,,,
1,,C308,1nF,,,
1,,C309,6.8uF,,,
1,,C310,0.1uF,,,
1,,C311,1n,,,
1,,C312,1n,,,
1,,C313,0.1uF,,,
1,,C314,1n,,,
1,,R176,21.34G,,,
1,,R177,500,,,
1,,R178,50,,,
1,,R179,402,,,
1,,R180,2k,,,
1,,R181,200,,,
1,,R182,27,,,
1,,R183,20,,,
1,,R184,130,,,
1,,R186,18k,,,
1,,R187,9.9,,,
1,,R188,200,,,
1,,R189,200,,,
1,,R190,100,,,
1,,R191,130,,,
1,,R192,10.1k,,,
1,,R194,10,,,
1,,U83,OPA855,,,
1,,U84,OPA695,,,
1,,U85,OPAx277,,,
1,,U86,TLV3604,,,
1,,U87,OPAx277,,,
