Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1uF,,,C252,,,17,,,
2,1,0.1uF,,,C253,,,56,,,
3,1,1n,,,C254,,,2,,,
4,1,1n,,,C261,,,26,,,
5,1,0.1u,,,C262,,,5,,,
6,1,1n,,,C263,,,29,,,
7,1,0.1u,,,C264,,,38,,,
8,1,1.2p,,,C265,,,20,,,
9,1,5k,,,R147,,,44,,,
10,1,200,,,R148,,,35,,,
11,1,15k,,,R149,,,41,,,
12,1,500,,,R151,,,47,,,
13,1,130,,,R153,,,68,,,
14,1,1,,,R154,,,8,,,
15,1,1,,,R155,,,23,,,
16,1,1,,,R156,,,65,,,
17,1,OPAx277,,,U1,,,50,,,
18,1,OPA855,,,U2,,,126,,,
