Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1uF,,,C252,,,588,,,
2,1,0.1uF,,,C253,,,609,,,
3,1,1n,,,C261,,,606,,,
4,1,0.1u,,,C262,,,621,,,
5,1,1n,,,C263,,,526,,,
6,1,0.1u,,,C264,,,523,,,
7,1,1.2p,,,C265,,,502,,,
8,1,0.7p,,,C266,,,481,,,
9,1,1n,,,C267,,,585,,,
10,1,1n,,,C268,,,582,,,
11,1,1n,,,C269,,,594,,,
12,1,5k,,,R147,,,603,,,
13,1,15k,,,R149,,,591,,,
14,1,500,,,R151,,,499,,,
15,1,130,,,R153,,,597,,,
16,1,200,,,R154,,,618,,,
17,1,100,,,R155,,,624,,,
18,1,21.34G,,,R159,,,496,,,
19,1,OPAx277,,,U1,,,612,,,
20,1,OPA855,,,U76,,,490,,,
