Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1uF,,,C252,,,76,,,
2,1,0.1uF,,,C253,,,79,,,
3,1,1.2p,,,C265,,,33,,,
4,1,0.7pF,,,C266,,,15,,,
5,1,1n,,,C267,,,85,,,
6,1,1n,,,C268,,,73,,,
7,1,1n,,,C269,,,88,,,
8,1,2k,,,R147,,,70,,,
9,1,200,,,R148,,,91,,,
10,1,130,,,R149,,,55,,,
11,1,18k,,,R150,,,61,,,
12,1,1k,,,R151,,,30,,,
13,1,10,,,R156,,,24,,,
14,1,21.34G,,,R159,,,18,,,
15,1,200,,,R160,,,82,,,
16,1,200,,,R161,,,108,,,
17,1,OPAx277,,,U1,,,64,,,
18,1,OPA855,,,U76,,,3,,,
