Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1uF,,,C252,,,319,,,
2,1,0.1uF,,,C253,,,310,,,
3,1,1n,,,C254,,,118,,,
4,1,1n,,,C261,,,324,,,
5,1,0.1u,,,C262,,,327,,,
6,1,1n,,,C263,,,334,,,
7,1,0.1u,,,C264,,,337,,,
8,1,1.2p,,,C265,,,361,,,
9,1,5k,,,R147,,,316,,,
10,1,200,,,R148,,,301,,,
11,1,15k,,,R149,,,304,,,
12,1,500,,,R151,,,158,,,
13,1,130,,,R153,,,354,,,
14,1,1,,,R154,,,364,,,
15,1,1,,,R155,,,371,,,
16,1,1,,,R156,,,390,,,
17,1,OPAx277,,,U1,,,295,,,
18,1,OPA856,,,U47,,,381,,,
