Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1uF,,,C252,,,15,,,
2,1,0.1uF,,,C253,,,24,,,
3,1,6.8uF,,,C254,,,114,,,
4,1,0.1uF,,,C255,,,96,,,
5,1,6.8uF,,,C256,,,111,,,
6,1,0.1u,,,C257,,,126,,,
7,1,1n,,,C258,,,93,,,
8,1,0.1uF,,,C259,,,90,,,
9,1,1.2p,,,C265,,,67,,,
10,1,0.7pF,,,C266,,,70,,,
11,1,1n,,,C267,,,36,,,
12,1,1n,,,C268,,,51,,,
13,1,1n,,,C269,,,64,,,
14,1,1n,,,C270,,,39,,,
15,1,0.1uF,,,C271,,,21,,,
16,1,0.1uF,,,C272,,,102,,,
17,1,2k,,,R147,,,3,,,
18,1,200,,,R148,,,57,,,
19,1,130,,,R149,,,6,,,
20,1,18k,,,R150,,,27,,,
21,1,500,,,R151,,,54,,,
22,1,500,,,R152,,,99,,,
23,1,20,,,R154,,,129,,,
24,1,360,,,R155,,,132,,,
25,1,20,,,R156,,,108,,,
26,1,67k,,,R157,,,135,,,
27,1,21.34G,,,R159,,,18,,,
28,1,200,,,R160,,,48,,,
29,1,OPAx277,,,U1,,,73,,,
30,1,OPA695,,,U73,,,117,,,
31,1,OPA855,,,U76,,,30,,,
