Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C252,0.1uF,,,
1,,C253,0.1uF,,,
1,,C254,6.8uF,,,
1,,C255,0.1uF,,,
1,,C256,6.8uF,,,
1,,C257,0.1u,,,
1,,C258,1n,,,
1,,C259,0.1uF,,,
1,,C265,1.2p,,,
1,,C266,0.7pF,,,
1,,C267,1n,,,
1,,C268,1n,,,
1,,C269,1n,,,
1,,C270,1n,,,
1,,C271,0.1uF,,,
1,,C272,0.1uF,,,
1,,R147,2k,,,
1,,R148,200,,,
1,,R149,130,,,
1,,R150,18k,,,
1,,R151,500,,,
1,,R152,500,,,
1,,R154,20,,,
1,,R155,360,,,
1,,R156,20,,,
1,,R157,67k,,,
1,,R159,21.34G,,,
1,,R160,200,,,
1,,U1,OPAx277,,,
1,,U73,OPA695,,,
1,,U76,OPA855,,,
