Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1uF,,,C252,,,212,,,
2,1,0.1uF,,,C253,,,218,,,
3,1,1.2p,,,C265,,,159,,,
4,1,0.7pF,,,C266,,,165,,,
5,1,1n,,,C267,,,206,,,
6,1,1n,,,C268,,,221,,,
7,1,1n,,,C269,,,245,,,
8,1,1n,,,C270,,,264,,,
9,1,0.1uF,,,C271,,,261,,,
10,1,2k,,,R147,,,227,,,
11,1,200,,,R148,,,209,,,
12,1,130,,,R149,,,239,,,
13,1,18k,,,R150,,,215,,,
14,1,500,,,R151,,,177,,,
15,1,21.34G,,,R159,,,168,,,
16,1,200,,,R160,,,242,,,
17,1,OPAx277,,,U1,,,230,,,
18,1,OPA855,,,U76,,,171,,,
