Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,6.8uF,,,C1,,,6,,,
2,1,0.47uF,,,C2,,,3,,,
3,1,0.47uF,,,C7,,,21,,,
4,1,0.7pF,,,C12,,,427,,,
5,1,0.1uF,,,C49,,,153,,,
6,1,0.1uF,,,C50,,,140,,,
7,1,10nF,,,C52,,,185,,,
8,1,6.8uF,,,C53,,,143,,,
9,1,100nF,,,C128,,,506,,,
10,1,100nF,,,C132,,,414,,,
11,1,0.1uF,,,C134,,,452,,,
12,1,0.1uF,,,C135,,,433,,,
13,1,0.1uF,,,C136,,,455,,,
14,1,1nF,,,C137,,,532,,,
15,1,1nF,,,C218,,,681,,,
16,1,0.1uF,,,C219,,,721,,,
17,1,1nF,,,C220,,,702,,,
18,1,0.1uF,,,C221,,,708,,,
19,1,10nF,,,C222,,,718,,,
20,1,6.8uF,,,C223,,,742,,,
21,1,0.1uF,,,C224,,,730,,,
22,1,10uF,,,C225,,,806,,,
23,1,22uF,,,C226,,,809,,,
24,1,10uF,,,C227,,,812,,,
25,1,100nF,,,C228,,,865,,,
26,1,100nF,,,C229,,,868,,,
27,1,0.1uF,,,C230,,,887,,,
28,1,1nF,,,C231,,,890,,,
29,1,0.1uF,,,C232,,,893,,,
30,1,1nF,,,C233,,,896,,,
31,1,6.8uF,,,C236,,,918,,,
32,1,1nF,,,C237,,,945,,,
33,1,0.1uF,,,C238,,,948,,,
34,1,0.1uF,,,C239,,,956,,,
35,1,6.8uF,,,C240,,,959,,,
36,1,0.1uF,,,C241,,,965,,,
37,1,6.8uF,,,C242,,,962,,,
38,1,0.1uF,,,C243,,,973,,,
39,1,4.7u,,,C244,,,1003,,,
40,1,47uF,,,C245,,,1011,,,
41,1,0.1uF,,,C248,,,1060,,,
42,1,6.8uF,,,C249,,,1064,,,
43,1,MTAPD-06-013,,,D1,,,500,,,
44,1,1N749A,,,D4,,,880,,,
45,1,OPA855IDSGR,"High Speed Operational Amplifiers 8 GHz Gain Bandwidth Product, Decompensated Transimpedance Amplifier with Bipolar Input 8-WSON -40 to 125",,IC9,,,436,,,
46,1,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",TSW-110-07-G-D,J1,SAMTEC,TSW-110-07-G-D,770,,,
47,1,4 HEADER,,,JP1,,,9,,,
48,1,200,,,R60,,,104,,,
49,1,20 k,,,R61,,,163,,,
50,1,100,,,R62,,,160,,,
51,1,200,,,R63,,,201,,,
52,1,200k,,,R73,,,424,,,
53,1,500,,,R74,,,449,,,
54,1,200,,,R77,,,430,,,
55,1,20 k,,,R78,,,417,,,
56,1,130,,,R80,,,528,,,
57,1,500,,,R114,,,586,,,
58,1,360,,,R117,,,607,,,
59,1,27,,,R122,,,662,,,
60,1,50,,,R123,,,676,,,
61,1,100,,,R126,,,748,,,
62,1,200,,,R127,,,727,,,
63,1,20k,,,R128,,,689,,,
64,1,200,,,R129,,,745,,,
65,1,400k,,,R133,,,871,,,
66,1,2k,,,R134,,,874,,,
67,1,5k,,,R136,,,996,,,
68,1,10,,,R137,,,1007,,,
69,1,10,,,R138,,,1015,,,
70,1,0,,,R139,,,1029,,,
71,1,0,,,R140,,,1034,,,
72,1,0,,,R141,,,1039,,,
73,1,0,,,R142,,,1042,,,
74,1,20,,,R144,,,1057,,,
75,1,10,,,R145,,,1069,,,
76,1,LM2940,,,U1,,,24,,,
77,1,LM2990,,,U3,,,14,,,
78,1,OPA277,,,U15,,,131,,,
79,1,TLV3604,,,U16,,,146,,,
80,1,OPA277,,,U45,,,474,,,
81,1,SMA_CON,,,U63,,,668,,,
82,1,OPA695,,,U70,,,598,,,
83,1,TLV3604,,,U72,,,711,,,
84,1,OPA277,,,U73,,,733,,,
85,1,R12_150B,,,U74,,,981,,,
