Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,MTAPD-06-013,APD,Marktech Optoelectronics,MTAPD-06-013,106,,,
2,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C1(6.8UF),Kyocera AVX,TAJA685K020R,300,,,
3,1,MLASE063BB5474MFNB33,0.47 F +/-20% 16V Ceramic Capacitor X5R 0201 (0603 Metric),(C_0.47uF0603)MLASE063BB5474MFNB33,C2(0.47UF),TAIYO YUDEN,MLASE063BB5474MFNB33,483,,,
4,1,TPSB226K016R0600,AVX 22,TPSB226K016R0600,C3(22UF),Kyocera AVX,TPSB226K016R0600,109,,,
5,1,T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",T491A106K016AT,C4(10UF),KEMET,T491A106K016AT,223,,,
6,1,MLASE063BB5474MFNB33,0.47 F +/-20% 16V Ceramic Capacitor X5R 0201 (0603 Metric),(C_0.47uF0603)MLASE063BB5474MFNB33,C5(0.47UF),TAIYO YUDEN,MLASE063BB5474MFNB33,486,,,
7,1,T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",T491A106K016AT,C6(10UF),KEMET,T491A106K016AT,169,,,
8,1,GRM188R60E476ME15J,"MLCC, 0603",(C_47uF0603)GRM188R60E476ME15J,C7(47UF),Murata Electronics,GRM188R60E476ME15J,489,,,
9,1,02016D475MAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 4.7uF X5R 0201 20%,,C8(4.7UF),,,492,,,
10,1,22252C225KAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 200V 2.2uF 2225 10% X7R,(C_2.2uF_APD)22252C225KAT2A,C9(2.2UF),,,671,,,
11,1,VJ1210Y104MXCAT,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 200V X7R 20%,(C_0.1uF_APD)VJ1210Y104MXCAT,C10(0.1UF),Vishay,VJ1210Y104MXCAT,674,,,
12,1,CBR08C508ACGAC,"CBR-SMD RF C0G, Ceramic, 0.5 pF, +/-0.05 pF, 500 VDC, 750 VDC, 125C, -55C, C0G, SMD, Fixed, RF, Ultra High Q, Low ESR, Class I, 0.24 % , 10 GOhms, 410, 10.7 mg, 0805, 2mm, 1.25mm, 0.85mm, 0.5mm, 4000, 78  Weeks, 120",(0.5pF)CBR08C508ACGAC,C11(0.5PF),,,382,,,
13,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C12(0.1UF),KEMET,C0603G104K5RACT250,143,,,
14,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C13(6.8UF),Kyocera AVX,TAJA685K020R,450,,,
15,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C14(0.1UF),KEMET,C0603G104K5RACT250,232,,,
16,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C15(6.8UF),Kyocera AVX,TAJA685K020R,453,,,
