Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,MTAPD-06-013,APD,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,Marktech Optoelectronics,MTAPD-06-013,MTAPD-06-013-8133550493,MTAPD-06-013,MARKTECH OPTOELECTRONICS,4,4,,,Active,$34.09346-$34.60350
1,TAJA685K020R,C1(6.8UF),TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",Kyocera AVX,TAJA685K020R,TAJA685K020R-2058413951,TAJA685K020R,AVX CORP,6,0,,,Contact Mfr,
1,(C_0.47uF0603)MLASE063BB5474MFNB33,C2(0.47UF),MLASE063BB5474MFNB33,0.47 F +/-20% 16V Ceramic Capacitor X5R 0201 (0603 Metric),TAIYO YUDEN,MLASE063BB5474MFNB33,MLASE063BB5474MFNB33-7438569396,MLASE063BB5474MFNB33,Taiyo Yuden,3,2,,,Active,$0.05244-$0.05244
1,TPSB226K016R0600,C3(22UF),TPSB226K016R0600,AVX 22,Kyocera AVX,TPSB226K016R0600,TPSB226K016R0600-1911707933,TPSB226K016R0600,KYOCERA AVX,10,10,,,Active,$0.27411-$0.29858
1,T491A106K016AT,C4(10UF),T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",KEMET,T491A106K016AT,T491A106K016AT-2027751258,T491A106K016AT,KEMET Corporation,10,10,,,Active,$0.11886-$0.14471
1,(C_0.47uF0603)MLASE063BB5474MFNB33,C5(0.47UF),MLASE063BB5474MFNB33,0.47 F +/-20% 16V Ceramic Capacitor X5R 0201 (0603 Metric),TAIYO YUDEN,MLASE063BB5474MFNB33,MLASE063BB5474MFNB33-7438569396,MLASE063BB5474MFNB33,Taiyo Yuden,3,2,,,Active,$0.05244-$0.05244
1,T491A106K016AT,C6(10UF),T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",KEMET,T491A106K016AT,T491A106K016AT-2027751258,T491A106K016AT,KEMET Corporation,10,10,,,Active,$0.11886-$0.14471
1,(C_47uF0603)GRM188R60E476ME15J,C7(47UF),GRM188R60E476ME15J,"MLCC, 0603",Murata Electronics,GRM188R60E476ME15J,GRM188R60E476ME15J-7128663302,GRM188R60E476ME15J,"Murata Manufacturing Co., Ltd.",7,0,,,Active,
1,,C8(4.7UF),02016D475MAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 4.7uF X5R 0201 20%,,,,,,,,,,,
1,(C_2.2uF_APD)22252C225KAT2A,C9(2.2UF),22252C225KAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 200V 2.2uF 2225 10% X7R,,,,,,,,,,,
1,(C_0.1uF_APD)VJ1210Y104MXCAT,C10(0.1UF),VJ1210Y104MXCAT,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 200V X7R 20%,Vishay,VJ1210Y104MXCAT,VJ1210Y104MXCAT-1967412259,VJ1210Y104MXCAT,"Vishay Intertechnology, Inc.",3,2,,,Active,$0.21295-$0.21432
1,(0.5pF)CBR08C508ACGAC,C11(0.5PF),CBR08C508ACGAC,"CBR-SMD RF C0G, Ceramic, 0.5 pF, +/-0.05 pF, 500 VDC, 750 VDC, 125C, -55C, C0G, SMD, Fixed, RF, Ultra High Q, Low ESR, Class I, 0.24 % , 10 GOhms, 410, 10.7 mg, 0805, 2mm, 1.25mm, 0.85mm, 0.5mm, 4000, 78  Weeks, 120",,,,,,,,,,,
1,C0603G104K5RACT250,C12(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.74898-$0.79663
1,TAJA685K020R,C13(6.8UF),TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",Kyocera AVX,TAJA685K020R,TAJA685K020R-2058413951,TAJA685K020R,AVX CORP,6,0,,,Contact Mfr,
1,C0603G104K5RACT250,C14(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.74898-$0.79663
1,TAJA685K020R,C15(6.8UF),TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",Kyocera AVX,TAJA685K020R,TAJA685K020R-2058413951,TAJA685K020R,AVX CORP,6,0,,,Contact Mfr,
1,(C_1nF0603)C0603X102KCRAC3316,C16(1NF),C0603X102KCRAC3316,Charging stations  LCD fluorescent backlight ballasts  Voltage multiplier circuits  DC/DC converters  Power supply  LAN/WAN interface  High voltage decoupling  Filters  DC blocking  ESD Protection,,,,,,,,,,,
1,C0603G104K5RACT250,C17(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.74898-$0.79663
1,TAJA685K020R,C18(6.8UF),TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",Kyocera AVX,TAJA685K020R,TAJA685K020R-2058413951,TAJA685K020R,AVX CORP,6,0,,,Contact Mfr,
1,(0.1uF)C0603G104K5RACT250,C19(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.74898-$0.79663
1,TAJA685K020R,C20(6.8UF),TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",Kyocera AVX,TAJA685K020R,TAJA685K020R-2058413951,TAJA685K020R,AVX CORP,6,0,,,Contact Mfr,
1,C0603G104K5RACT250,C21(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.74898-$0.79663
1,(C_1nF0603)C0603X102KCRAC3316,C22(1NF),C0603X102KCRAC3316,Charging stations  LCD fluorescent backlight ballasts  Voltage multiplier circuits  DC/DC converters  Power supply  LAN/WAN interface  High voltage decoupling  Filters  DC blocking  ESD Protection,,,,,,,,,,,
1,(0.1uF)C0603G104K5RACT250,C24(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.74898-$0.79663
