Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,6.8uF,,,C1,,,288,,,
2,1,0.47uF,,,C2,,,151,,,
3,1,0.47uF,,,C7,,,230,,,
4,1,0.7pF,,,C12,,,43,,,
5,1,0.1uF,,,C49,,,300,,,
6,1,0.1uF,,,C50,,,37,,,
7,1,10nF,,,C52,,,148,,,
8,1,6.8uF,,,C53,,,145,,,
9,1,100nF,,,C128,,,174,,,
10,1,100nF,,,C132,,,177,,,
11,1,0.1uF,,,C134,,,242,,,
12,1,0.1uF,,,C135,,,46,,,
13,1,0.1uF,,,C136,,,200,,,
14,1,1nF,,,C137,,,52,,,
15,1,1nF,,,C218,,,76,,,
16,1,0.1uF,,,C219,,,40,,,
17,1,1nF,,,C220,,,118,,,
18,1,0.1uF,,,C221,,,31,,,
19,1,10nF,,,C222,,,251,,,
20,1,6.8uF,,,C223,,,224,,,
21,1,0.1uF,,,C224,,,206,,,
22,1,10uF,,,C225,,,49,,,
23,1,22uF,,,C226,,,285,,,
24,1,10uF,,,C227,,,227,,,
25,1,0.1uF,,,C230,,,327,,,
26,1,1nF,,,C231,,,115,,,
27,1,0.1uF,,,C232,,,215,,,
28,1,1nF,,,C233,,,282,,,
29,1,6.8uF,,,C236,,,254,,,
30,1,1nF,,,C237,,,91,,,
31,1,0.1uF,,,C238,,,154,,,
32,1,0.1uF,,,C239,,,212,,,
33,1,6.8uF,,,C240,,,273,,,
34,1,0.1uF,,,C241,,,185,,,
35,1,6.8uF,,,C242,,,28,,,
36,1,0.1uF,,,C243,,,67,,,
37,1,4.7u,,,C244,,,209,,,
38,1,47uF,,,C245,,,188,,,
39,1,0.1uF,,,C248,,,73,,,
40,1,6.8uF,,,C249,,,55,,,
41,1,OPA855IDSGR,"High Speed Operational Amplifiers 8 GHz Gain Bandwidth Product, Decompensated Transimpedance Amplifier with Bipolar Input 8-WSON -40 to 125",,IC9,,,11,,,
42,1,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",TSW-110-07-G-D,J1,SAMTEC,TSW-110-07-G-D,124,,,
43,1,4 HEADER,,,JP1,,,180,,,
44,1,200,,,R60,,,291,,,
45,1,20 k,,,R61,,,167,,,
46,1,100,,,R62,,,112,,,
47,1,200,,,R63,,,34,,,
48,1,200k,,,R73,,,94,,,
49,1,500,,,R74,,,218,,,
50,1,200,,,R77,,,279,,,
51,1,20 k,,,R78,,,257,,,
52,1,130,,,R80,,,97,,,
53,1,500,,,R114,,,203,,,
54,1,360,,,R117,,,109,,,
55,1,27,,,R122,,,276,,,
56,1,50,,,R123,,,121,,,
57,1,100,,,R126,,,64,,,
58,1,200,,,R127,,,70,,,
59,1,20k,,,R128,,,265,,,
60,1,200,,,R129,,,321,,,
61,1,5k,,,R136,,,269,,,
62,1,10,,,R137,,,221,,,
63,1,10,,,R138,,,294,,,
64,1,0,,,R139,,,58,,,
65,1,0,,,R140,,,324,,,
66,1,0,,,R141,,,88,,,
67,1,0,,,R142,,,171,,,
68,1,20,,,R144,,,297,,,
69,1,10,,,R145,,,61,,,
70,1,LM2940,,,U1,,,316,,,
71,1,LM2990,,,U3,,,261,,,
72,1,OPA277,,,U15,,,191,,,
73,1,TLV3604,,,U16,,,157,,,
74,1,OPA277,,,U45,,,100,,,
75,1,SMA_CON,,,U63,,,245,,,
76,1,OPA695,,,U70,,,233,,,
77,1,TLV3604,,,U72,,,21,,,
78,1,OPA277,,,U73,,,79,,,
79,1,R12_150B,,,U74,,,303,,,
80,1,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,MTAPD-06-013,U75,Marktech Optoelectronics,MTAPD-06-013,389,,,
