  Revised: Thursday, March 20, 2025
          Revision: 







Design Name:  C:\USERS\USER\DESKTOP\NEW_LIDAR\NEW_LIDAR\NEW_LIDAR.DSN

Export Placement            March 20,2025      2:04:12,Page1

Item,Reference,Part,SchematicName,Sheet,Library,X,Y
____________________________________________________________________________

1,C1,6.8UF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 1.30, 1.10
2,C2,0.47UF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 2.10, 1.10
3,C4,47uF,SCHEMATIC1/PAGE1,1,C:\CADENCE\SPB_17.2\TOOLS\CAPTURE\LIBRARY\DISCRETE.OLB, 5.60, 1.40
4,C5,4.7nF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 7.60, 1.40
5,C7,0.47UF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 2.10, 1.80
6,C12,0.7pF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 3.70, 4.80
7,C49,0.1UF,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 17.20, 10.00
8,C50,0.1UF,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 14.70, 11.00
9,C51,0.1UF,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 15.60, 11.60
10,C52,10NF,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 19.00, 11.30
11,C53,6.8UF,SCHEMATIC1/PAGE1,1,E:\PROJECT\PULSED_LIDAR\DESIGN\VERSION1\LIDAR_READOUT_LIBRARY.OLB, 19.70, 11.30
12,C128,100NF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 1.60, 4.20
13,C129,100nF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 5.60, 4.60
14,C130,100NF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 5.90, 4.60
15,C132,100NF,SCHEMATIC1/PAGE1,1,C:\USERS\MSDL3\DESKTOP\ORCAD FILE\80DB_LIDAR\LIDAR_READOUT_LIBRARY.OLB, 1.40, 5.40
